,Date,Price_Change
3000,2009-06-25,-12.0
3001,2009-06-27,0.0
3002,2009-06-28,-20.5
3003,2009-06-29,28.5
3004,2009-06-30,14.5
3005,2009-07-01,17.5
3006,2009-07-04,0.0
3007,2009-07-05,0.0
3008,2009-07-06,1.0
3009,2009-07-07,0.0
3010,2009-07-08,6.0
3011,2009-07-09,-8.5
3012,2009-07-11,0.0
3013,2009-07-12,-1.0
3014,2009-07-13,-10.5
3015,2009-07-14,-21.5
3016,2009-07-15,18.5
3017,2009-07-16,-4.5
3018,2009-07-18,0.0
3020,2009-07-20,-0.5
3021,2009-07-21,13.0
3022,2009-07-22,-6.5
3023,2009-07-23,12.0
3024,2009-07-25,0.0
3026,2009-07-27,8.5
3027,2009-07-28,-4.0
3028,2009-07-29,-2.5
3029,2009-07-30,7.5
3030,2009-08-02,-11.5
3031,2009-08-03,16.0
3032,2009-08-04,-2.5
3033,2009-08-05,-5.0
3034,2009-08-06,18.0
3035,2009-08-08,0.0
3036,2009-08-09,3.5
3037,2009-08-10,-16.5
3038,2009-08-11,-30.0
3039,2009-08-12,-16.0
3040,2009-08-13,0.0
3041,2009-08-15,0.0
3042,2009-08-16,-11.5
3043,2009-08-17,5.5
3044,2009-08-18,-11.5
3045,2009-08-19,1.0
3046,2009-08-20,2.5
3047,2009-08-22,0.0
3048,2009-08-23,-11.5
3049,2009-08-24,-2.0
3050,2009-08-25,-15.0
3051,2009-08-26,-3.0
3052,2009-08-27,32.5
3053,2009-08-29,0.0
3054,2009-08-30,28.0
3055,2009-08-31,-11.0
3056,2009-09-01,-3.5
3057,2009-09-02,16.5
3058,2009-09-03,4.5
3059,2009-09-05,0.0
3060,2009-09-07,1.0
3061,2009-09-08,11.5
3062,2009-09-09,3.0
3064,2009-09-12,0.0
3065,2009-09-13,0.0
3066,2009-09-14,0.0
3067,2009-09-15,0.0
3068,2009-09-16,0.0
3069,2009-09-17,0.0
3070,2009-09-19,0.0
3071,2009-09-20,0.0
3072,2009-09-21,0.0
3073,2009-09-22,0.0
3074,2009-09-23,0.0
3075,2009-09-24,0.0
3076,2009-09-26,0.0
3077,2009-09-27,0.0
3078,2009-09-28,0.0
3079,2009-09-29,0.0
3080,2009-09-30,-0.5
3081,2009-10-01,-14.5
3082,2009-10-03,0.0
3083,2009-10-04,3.0
3084,2009-10-05,4.5
3085,2009-10-06,7.5
3086,2009-10-07,23.5
3087,2009-10-08,-8.0
3088,2009-10-10,0.0
3090,2009-10-12,11.0
3091,2009-10-13,15.0
3092,2009-10-14,-23.0
3093,2009-10-15,-14.5
3094,2009-10-17,0.0
3095,2009-10-18,24.0
3096,2009-10-19,-29.5
3097,2009-10-20,12.0
3098,2009-10-21,-4.0
3099,2009-10-22,-13.0
3100,2009-10-24,0.0
3101,2009-10-25,1.5
3102,2009-10-26,8.0
3103,2009-10-27,31.5
3104,2009-10-28,20.5
3105,2009-10-29,14.5
3106,2009-10-31,0.0
3108,2009-11-03,8.5
3109,2009-11-04,0.0
3110,2009-11-05,0.0
3111,2009-11-06,0.0
3112,2009-11-08,0.0
3113,2009-11-09,0.0
3114,2009-11-10,7.5
3115,2009-11-11,0.0
3116,2009-11-12,-22.0
3117,2009-11-13,2.5
3118,2009-11-15,0.0
3120,2009-11-17,-4.0
3121,2009-11-18,10.0
