Date,Open,High,Low,Close,Adj Close,Volume
2021-08-19,1320.0,1329.5,1319.5,1327.0,1327.0,542.0
2021-08-18,1326.0,1328.5,1318.0,1319.5,1319.5,629.0
2021-08-17,1350.0,1358.0,1328.0,1328.5,1328.5,1200.0
2021-08-16,1354.5,1355.0,1344.5,1344.5,1344.5,852.0
2021-08-15,1355.0,1361.0,1347.0,1355.0,1355.0,781.0
2021-08-12,1353.5,1363.0,1351.5,1353.0,1353.0,525.0
2021-08-11,1340.5,1358.0,1334.5,1352.5,1352.5,365.0
2021-08-10,1340.5,1355.0,1340.5,1343.0,1343.0,450.0
2021-08-09,1340.0,1351.0,1336.0,1348.5,1348.5,513.0
2021-08-08,1336.0,1341.0,1331.5,1339.0,1339.0,334.0
2021-08-05,1333.0,1337.5,1321.0,1332.0,1332.0,415.0
2021-08-04,1317.0,1337.0,1316.0,1328.5,1328.5,603.0
2021-08-03,1335.5,1340.0,1315.0,1319.5,1319.5,578.0
2021-08-02,1350.0,1350.0,1330.0,1340.0,1340.0,346.0
2021-08-01,1366.0,1368.5,1347.0,1349.5,1349.5,377.0
2021-07-29,1365.0,1368.5,1348.5,1368.0,1368.0,494.0
2021-07-28,1368.0,1385.0,1366.0,1368.0,1368.0,872.0
2021-07-27,1348.0,1368.5,1348.0,1366.0,1366.0,406.0
2021-07-26,1355.5,1360.0,1345.5,1348.0,1348.0,283.0
2021-07-25,1349.5,1360.0,1345.5,1354.5,1354.5,571.0
2021-07-22,1353.5,1362.5,1348.5,1361.5,1361.5,399.0
2021-07-21,1329.0,1358.0,1329.0,1354.0,1354.0,665.0
2021-07-20,1316.0,1334.0,1315.5,1331.0,1331.0,188.0
2021-07-19,1305.0,1319.0,1302.0,1319.0,1319.0,466.0
2021-07-18,1326.0,1326.5,1303.0,1304.0,1304.0,228.0
2021-07-15,1325.0,1334.5,1321.0,1323.0,1323.0,373.0
2021-07-14,1314.0,1323.0,1306.0,1321.5,1321.5,213.0
2021-07-13,1283.0,1283.0,1283.0,1283.0,1283.0,144.0
2021-07-12,1283.0,1283.0,1283.0,1283.0,1283.0,10.0
2021-07-11,1266.0,1266.0,1266.0,1266.0,1266.0,13.0
2021-07-08,1251.0,1260.0,1251.0,1260.0,1260.0,27.0
2021-07-07,1248.5,1248.5,1248.5,1248.5,1248.5,15.0
2021-07-06,1260.5,1260.5,1260.5,1260.5,1260.5,4.0
2021-07-05,1251.5,1254.5,1251.5,1252.0,1252.0,11.0
2021-07-01,1284.0,1284.0,1284.0,1284.0,1284.0,5.0
2021-06-30,1315.5,1315.5,1315.5,1315.5,1315.5,107.0
2021-06-29,1344.0,1349.0,1317.5,1317.5,1317.5,42.0
2021-06-28,1305.0,1325.0,1305.0,1325.0,1325.0,225.0
2021-06-27,1312.5,1325.0,1310.5,1315.5,1315.5,342.0
2021-06-24,1314.0,1321.5,1305.5,1315.0,1315.0,262.0
2021-06-23,1324.5,1333.5,1316.0,1323.5,1323.5,320.0
2021-06-22,1299.0,1367.0,1299.0,1334.5,1334.5,663.0
2021-06-21,1267.0,1317.0,1267.0,1315.0,1315.0,738.0
2021-06-20,1255.5,1276.0,1242.0,1272.0,1272.0,472.0
2021-06-17,1221.5,1263.0,1221.0,1261.0,1261.0,499.0
2021-06-16,1244.0,1258.0,1221.0,1223.0,1223.0,496.0
2021-06-15,1231.0,1268.5,1231.0,1236.0,1236.0,539.0
2021-06-14,1244.0,1262.0,1229.0,1231.0,1231.0,866.0
2021-06-13,1290.0,1290.0,1244.0,1250.5,1250.5,865.0
2021-06-10,1294.0,1303.5,1284.0,1285.0,1285.0,524.0
2021-06-09,1306.5,1306.5,1280.5,1293.0,1293.0,1396.0
2021-06-08,1314.0,1322.0,1304.0,1308.5,1308.5,593.0
2021-06-07,1323.0,1324.5,1312.5,1314.0,1314.0,540.0
2021-06-06,1332.5,1333.0,1323.5,1327.0,1327.0,761.0
2021-06-03,1326.5,1332.0,1326.5,1331.0,1331.0,212.0
2021-06-02,1329.5,1332.0,1326.0,1329.5,1329.5,278.0
2021-06-01,1326.5,1331.5,1325.0,1331.0,1331.0,285.0
2021-05-31,1334.0,1344.0,1320.0,1328.5,1328.5,443.0
2021-05-27,1323.5,1337.0,1320.0,1330.0,1330.0,381.0
2021-05-26,1319.5,1333.0,1319.0,1323.5,1323.5,290.0
2021-05-25,1324.0,1324.5,1316.5,1319.0,1319.0,148.0
2021-05-24,1314.5,1326.0,1313.5,1320.0,1320.0,343.0
2021-05-23,1318.5,1322.0,1311.0,1315.0,1315.0,599.0
2021-05-20,1326.5,1327.5,1317.0,1318.5,1318.5,504.0
2021-05-19,1334.0,1354.5,1326.5,1328.0,1328.0,298.0
2021-05-18,1334.0,1347.0,1326.0,1336.5,1336.5,737.0
2021-05-17,1345.5,1349.0,1334.0,1335.0,1335.0,714.0
2021-05-16,1360.0,1364.5,1345.0,1345.5,1345.5,350.0
2021-05-13,1333.0,1333.0,1333.0,1333.0,1333.0,497.0
2021-05-12,1336.0,1336.0,1336.0,1336.0,1336.0,48.0
2021-05-11,1372.5,1372.5,1372.5,1372.5,1372.5,39.0
2021-05-10,1384.0,1384.0,1374.0,1374.0,1374.0,22.0
2021-05-09,1419.0,1419.0,1381.5,1388.0,1388.0,109.0
2021-05-06,1405.0,1419.0,1405.0,1419.0,1419.0,35.0
2021-05-05,1419.0,1419.0,1390.5,1390.5,1390.5,106.0
2021-05-04,1390.0,1412.5,1384.5,1412.5,1412.5,9.0
2021-05-03,1346.0,1384.0,1346.0,1384.0,1384.0,12.0
2021-05-02,1340.0,1343.0,1340.0,1343.0,1343.0,50.0
2021-04-29,1338.0,1340.0,1338.0,1338.5,1338.5,18.0
2021-04-28,1319.0,1337.5,1313.5,1337.0,1337.0,74.0
2021-04-27,1314.0,1319.0,1309.5,1316.5,1316.5,520.0
2021-04-26,1320.0,1320.0,1307.5,1313.5,1313.5,447.0
2021-04-25,1340.0,1353.5,1321.5,1322.0,1322.0,791.0
2021-04-22,1340.0,1350.0,1331.0,1343.0,1343.0,1092.0
2021-04-21,1288.0,1340.0,1286.0,1336.0,1336.0,1397.0
2021-04-20,1283.5,1288.5,1279.0,1286.5,1286.5,950.0
2021-04-19,1285.0,1286.0,1282.0,1284.0,1284.0,773.0
2021-04-18,1289.5,1296.0,1282.5,1284.5,1284.5,823.0
2021-04-15,1307.0,1307.0,1287.5,1288.0,1288.0,980.0
2021-04-14,1315.5,1317.0,1303.0,1305.0,1305.0,1029.0
2021-04-13,1310.0,1317.0,1307.0,1316.5,1316.5,533.0
2021-04-12,1311.0,1315.0,1308.5,1313.0,1313.0,263.0
2021-04-11,1309.5,1319.5,1308.0,1310.0,1310.0,272.0
2021-04-08,1308.0,1314.5,1303.5,1309.0,1309.0,423.0
2021-04-07,1314.0,1315.0,1310.0,1311.0,1311.0,261.0
2021-04-06,1313.0,1317.0,1310.0,1317.0,1317.0,231.0
2021-04-05,1316.0,1316.0,1310.5,1313.0,1313.0,469.0
2021-04-04,1311.0,1320.0,1309.5,1316.0,1316.0,458.0
2021-03-31,1316.0,1324.0,1310.0,1311.5,1311.5,313.0
2021-03-30,1320.0,1327.0,1316.0,1318.0,1318.0,319.0
2021-03-29,1327.0,1330.0,1317.0,1322.0,1322.0,226.0
2021-03-28,1308.5,1330.0,1307.0,1326.5,1326.5,190.0
2021-03-25,1312.5,1319.0,1308.0,1308.5,1308.5,170.0
2021-03-24,1331.0,1338.5,1314.0,1315.0,1315.0,318.0
2021-03-23,1319.0,1345.0,1319.0,1339.5,1339.5,405.0
2021-03-22,1323.0,1326.0,1312.0,1321.0,1321.0,145.0
2021-03-21,1316.0,1323.0,1313.0,1321.5,1321.5,188.0
2021-03-18,1302.5,1315.5,1302.0,1314.5,1314.5,201.0
2021-03-17,1318.0,1320.0,1299.0,1303.0,1303.0,341.0
2021-03-16,1304.5,1321.5,1300.0,1321.5,1321.5,244.0
2021-03-15,1293.5,1308.0,1293.0,1301.0,1301.0,224.0
2021-03-14,1299.0,1301.0,1292.5,1294.0,1294.0,333.0
2021-03-12,1277.5,1277.5,1277.5,1277.5,1277.5,430.0
2021-03-11,1277.0,1277.0,1277.0,1277.0,1277.0,19.0
2021-03-10,1275.5,1275.5,1275.5,1275.5,1275.5,24.0
2021-03-09,1291.5,1291.5,1291.5,1291.5,1291.5,14.0
2021-03-08,1297.0,1297.0,1297.0,1297.0,1297.0,2.0
2021-03-05,1294.5,1294.5,1294.5,1294.5,1294.5,2.0
2021-03-04,1318.5,1321.0,1307.5,1307.5,1307.5,33.0
2021-03-03,1299.5,1318.0,1299.5,1316.5,1316.5,47.0
2021-03-02,1278.5,1305.5,1275.5,1305.5,1305.5,37.0
2021-03-01,1279.5,1280.0,1279.5,1279.5,1279.5,5.0
2021-02-26,1281.0,1282.0,1270.0,1275.0,1275.0,45.0
2021-02-25,1282.5,1291.0,1275.0,1280.5,1280.5,140.0
2021-02-24,1283.5,1294.0,1283.0,1287.0,1287.0,272.0
2021-02-23,1284.5,1290.5,1282.0,1283.5,1283.5,631.0
2021-02-22,1287.5,1291.0,1280.5,1289.0,1289.0,1361.0
2021-02-19,1275.5,1295.5,1268.5,1287.0,1287.0,1503.0
2021-02-18,1269.0,1276.0,1265.0,1273.0,1273.0,960.0
2021-02-17,1271.0,1275.5,1260.5,1274.5,1274.5,673.0
2021-02-16,1281.5,1285.0,1261.5,1271.5,1271.5,1078.0
2021-02-12,1289.0,1291.0,1280.5,1281.0,1281.0,769.0
2021-02-11,1288.0,1291.0,1281.0,1289.0,1289.0,834.0
2021-02-10,1291.0,1297.0,1284.5,1288.0,1288.0,677.0
2021-02-09,1304.5,1304.5,1284.0,1291.5,1291.5,843.0
2021-02-08,1300.0,1310.0,1296.5,1297.0,1297.0,429.0
2021-02-05,1301.5,1302.5,1282.0,1300.0,1300.0,589.0
2021-02-04,1309.0,1309.0,1296.5,1302.5,1302.5,467.0
2021-02-03,1335.0,1341.0,1276.5,1309.0,1309.0,1296.0
2021-02-02,1334.5,1338.0,1331.0,1336.0,1336.0,261.0
2021-02-01,1346.0,1348.5,1333.0,1334.0,1334.0,569.0
2021-01-29,1341.0,1349.0,1337.5,1346.0,1346.0,386.0
2021-01-28,1346.5,1350.0,1335.0,1339.0,1339.0,405.0
2021-01-27,1328.5,1348.0,1327.5,1345.5,1345.5,506.0
2021-01-26,1312.5,1332.5,1312.0,1330.5,1330.5,237.0
2021-01-25,1327.0,1327.0,1305.0,1323.5,1323.5,322.0
2021-01-22,1321.5,1330.0,1318.0,1327.5,1327.5,766.0
2021-01-21,1320.0,1325.0,1316.5,1324.5,1324.5,178.0
2021-01-20,1319.0,1328.0,1308.5,1321.0,1321.0,345.0
2021-01-19,1309.0,1326.5,1308.0,1319.5,1319.5,352.0
2021-01-15,1314.5,1335.5,1307.5,1311.5,1311.5,655.0
2021-01-14,1293.5,1295.0,1289.0,1289.5,1289.5,634.0
2021-01-13,1288.0,1288.0,1288.0,1288.0,1288.0,25.0
2021-01-12,1261.0,1261.0,1261.0,1261.0,1261.0,1.0
2021-01-11,1245.5,1247.5,1234.0,1234.0,1234.0,15.0
2021-01-08,1241.5,1241.5,1241.5,1241.5,1241.5,19.0
2021-01-07,1245.0,1245.0,1245.0,1245.0,1245.0,2.0
2021-01-06,1242.0,1242.0,1242.0,1242.0,1242.0,201.0
2021-01-05,1235.5,1235.5,1235.5,1235.5,1235.5,7.0
2021-01-04,1265.0,1265.0,1245.0,1245.0,1245.0,16.0
2020-12-31,1224.0,1240.0,1224.0,1240.0,1240.0,116.0
2020-12-30,1222.5,1239.0,1215.0,1220.5,1220.5,71.0
2020-12-29,1200.0,1224.0,1200.0,1220.5,1220.5,145.0
